	votes	unemployment_rate	med_hhinc	per_capita_inc	poverty_all_ages_pct	deep_pov_all	deep_pov_children	population	area_in_square_miles	voter_turnout_rate	democrat	county	state	education	religion	age_old	age_young	age_adult	ethnic_male	ethnic_female
0	-0.372653084860404	0.025	0.01502546934110569	0.6334071922025118	0.16	0.03440187647	0.01209677419	-0.3098963144924987	0.2243215643798068	0.562698413	0	Sioux County	NE	GTE Bachelor's	MAINLINE CHRISTIAN	0.30952380900000004	0.26666666699999997	0.31825396699999997	WHITE MALE	WHITE FEMALE
1	1.587511065743976	0.077	-0.4326699436920382	0.17637205473116518	0.233	0.1202821044	0.1928272981	1.6695769481394096	-0.29154640858858866	0.336062292	1	Baltimore city	MD	Some College	MAINLINE CHRISTIAN	0.184607517	0.322959433	0.43520211499999994	BLACK MALE	BLACK FEMALE
2	0.347824014961782	0.027000000000000003	1.2210266788683732	1.7224376003237258	0.11	0.056108021179999995	0.05049699146	0.18599903360949704	-0.15385783318014862	0.478746081	1	Chittenden County	VT	High School	MAINLINE CHRISTIAN	0.200555204	0.34270240900000004	0.38566259	WHITE MALE	WHITE FEMALE
3	-0.3090118194591392	0.125	-0.3211179304777997	0.11939605945759876	0.174	0.06386687797	0.1007853403	-0.296326069322386	1.6908635379221977	1.17820533	0	Prince of Wales-Hyder Census Area	AK	GTE Bachelor's	OTHER MISC	0.196937855	0.319733914	0.390365411	WHITE MALE	WHITE FEMALE
4	0.9043415636814193	0.039	1.6054266532925492	2.2950025251343966	0.08199999999999999	0.04265532508	0.052548793729999994	0.292995688912641	-0.10104652809745764	0.601800212	0	St. Johns County	FL	High School	MAINLINE CHRISTIAN	0.232125838	0.286295446	0.377837098	WHITE MALE	WHITE FEMALE
5	-0.24495644348738407	0.062	-0.7571623554641231	-0.42073637573581085	0.217	0.09650803963	0.14142552930000002	-0.21315720562090656	-0.1436052898505415	0.454117497	0	Jefferson Davis Parish	LA	LT High School	NON-CATHOLIC CHRISTIAN	0.205699927	0.34848436600000005	0.37176755100000003	WHITE MALE	WHITE FEMALE
6	-0.17105652986260872	0.028999999999999998	0.8272067566616615	0.8795434917843188	0.10400000000000001	0.04584937552999999	0.06	-0.1743503933971473	-0.17143548706491313	0.515023157	0	Sullivan County	NH	Some College	MAINLINE CHRISTIAN	0.260222962	0.261875392	0.37184350699999996	WHITE MALE	WHITE FEMALE
7	-0.36797551773463816	0.028999999999999998	-0.11743221746069012	1.5911298450624913	0.102	0.019728189389999998	0.01851851852	-0.3065995882647312	-0.05738834689919683	0.511233574	0	Adams County	ND	GTE Bachelor's	MAINLINE CHRISTIAN	0.314540058	0.256040694	0.318779144	WHITE MALE	WHITE FEMALE
8	-0.3070636174570597	0.059000000000000004	-0.2949238651526785	-0.2200055616181692	0.147	0.04537676659	0.06067610517	-0.2609150128933136	-0.15910423143516153	0.468427796	0	Crawford County	WI	GTE Bachelor's	MAINLINE CHRISTIAN	0.263498261	0.279848698	0.346409614	WHITE MALE	WHITE FEMALE
9	-0.3454629612661635	0.065	-0.9092036179190852	-1.170540473535945	0.239	0.09752977069	0.17667322829999998	-0.27571833589668043	-0.2499826083761518	0.315724816	0	Pulaski County	GA	LT High School	MAINLINE CHRISTIAN	0.23113373100000004	0.27711477799999995	0.38917164000000004	WHITE MALE	WHITE FEMALE
